source,target,weight
official,u,28
net,neutrality,28
individual,obamacare,28
could,said,28
plan,republican,28
national,republican,28
john,kelly,28
health,insurers,28
agreement,nuclear,28
chair,fed,28
aside,step,28
companies,insurance,28
governments,local,28
denied,meddling,27
george,papadopoulos,27
campaign,collusion,27
trump,wrote,27
budget,congressional,27
agreement,trade,27
following,statements,27
posted,statements,27
posted,verified,27
twitter,verified,27
realdonaldtrump,trump,27
potus,realdonaldtrump,27
opinions,potus,27
edited,reuters,27
edited,statements,27
confirmed,statements,27
accuracy,confirmed,27
accuracy,realdonaldtrump,27
--,source,27
link,source,27
bit,link,27
2,jbh,27
4,jbh,27
4,lu,27
bit,lu,27
2,jpexyr,27
columbia,district,27
lawmakers,said,27
countries,muslim-majority,27
justice,u,27
trump,visit,27
letter,sent,27
house,judiciary,27
said,spokeswoman,27
support,would,27
independently,reuters,27
experts,said,27
gas,oil,27
30,percent,27
going,m,27
senior,u,27
mulvaney,said,27
missile,programs,27
agency,protection,27
people,said,27
nuclear,program,27
deal,iran,27
affairs,foreign,27
congress,control,26
national,trillion,26
corporations,rich,26
investigation,russia,26
funding,government,26
democrat,hillary,26
last,trump,26
missile,nuclear,26
democratic,lawmakers,26
chamber,commerce,26
month,next,26
whether,would,26
vote,would,26
bill,passed,26
law,sign,26
re-election,seek,26
comey,james,26
campaign,colluded,26
hurricane,maria,26
interview,reuters,26
rate,top,26
deduction,standard,26
proposal,would,26
senate,would,26
general,inspector,26
health,human,26
korea,nuclear,26
repeal,would,26
house,members,26
back,roll,26
individual,tax,26
ron,senator,26
22,dec,26
company,said,26
jong,kim,26
jong,un,26
china,said,26
agency,news,26
cleansing,ethnic,26
budget,deficit,25
election,meddling,25
candidate,hillary,25
help,trump,25
brought,united,25
bill,could,25
email,said,25
meeting,said,25
reporters,white,25
city,york,25
former,national,25
court,documents,25
election,year,25
trump,week,25
news,said,25
5,million,25
believed,said,25
aides,said,25
administration,official,25
democratic,leaders,25
executive,order,25
chairman,senate,25
percent,percent,25
contacts,russia,25
franken,said,25
collusion,potential,25
department,official,24
adviser,policy,24
requests,respond,24
aid,disaster,24
candidate,democratic,24
three,years,24
cohn,gary,24
2018,november,24
increase,would,24
expected,senate,24
fired,trump,24
500,p,24
analysts,said,24
group,said,24
could,help,24
corporations,u,24
business,u,24
expenses,medical,24
chambers,congress,24
clear,made,24
brady,said,24
launder,money,24
manafort,said,24
first,reported,24
stanford,university,24
insurance,markets,24
obama,signature,24
mandate,repeal,24
ambassador,russian,24
alphabet,inc,24
asia,trip,24
house,passed,23
8,dec,23
said,senator,23
federal,u,23
russia,trump,23
since,took,23
trump,year,23
however,said,23
work,would,23
high-tax,states,23
intelligence,representatives,23
jared,kushner,23
states,u,23
new,said,23
like,would,23
asked,whether,23
ambassador,u,23
embassy,u,23
around,world,23
representatives,senate,23
favor,trump,23
according,court,23
mueller,probe,23
china,russia,23
easier,make,23
congress,pass,23
relief,tax,23
said,short,23
break,tax,23
committee,senate,23
collins,said,23
human,services,23
million,people,23
cordray,richard,23
america,first,23
senate,version,23
news,told,23
politico,reported,23
continue,would,23
budget,house,23
confirmed,senate,23
officials,say,23
healthcare,signature,23
kim,leader,23
paul,rand,23
facebook,inc,23
budget,federal,22
foreign,u,22
media,news,22
know,said,22
countries,two,22
department,treasury,22
committee,members,22
civil,rights,22
11,countries,22
former,republican,22
days,two,22
january,trump,22
effect,take,22
tax,trillion,22
first,year,22
system,tax,22
criticized,trump,22
provide,would,22
islands,virgin,22
foreign,governments,22
bill,president,22
experts,legal,22
investigating,mueller,22
months,recent,22
may,trump,22
official,told,22
brackets,tax,22
pelosi,said,22
policy,tax,22
sign,trump,22
1,trillion,22
independently,verified,22
reporters,speaking,22
lisa,murkowski,22
democratic,national,22
alternative,corporate,22
credits,tax,22
5,percent,22
one,trump,22
afford,lose,22
lose,two,22
revenue,tax,22
english,leandra,22
policy,u,22
china,south,22
china,sea,22
marco,rubio,22
committee,republican,22
chairman,kevin,22
briefing,news,22
cyber,security,22
ambassador,united,22
associate,business,22
fed,former,22
chair,janet,22
committee,services,22
agents,foreign,22
sources,two,22
republicans,want,21
democratic,presidential,21
campaign,moscow,21
post,twitter,21
--,est,21
angeles,los,21
secretary,treasury,21
new,tax,21
tower,trump,21
democratic,trump,21
market,stock,21
rs,tmsnrt,21
1980,since,21
add,would,21
adviser,gary,21
chamber,u,21
house,trump,21
according,reuters,21
known,obamacare,21
senators,u,21
department,interior,21
could,trump,21
business,income,21
national,wildlife,21
full,senate,21
senior,white,21
corporate,percent,21
carried,interest,21
37,percent,21
could,take,21
bill,vote,21
agenda,trump,21
bernie,sanders,21
head,u,21
decide,whether,21
pruitt,said,21
said,united,21
tax,writers,21
bill,final,21
transition,trump,21
committee,house,21
said,week,21
contact,sexual,21
accusations,denied,21
alleged,investigation,21
alabama,republican,21
foreign,service,21
denied,repeatedly,21
former,pro-russian,21
tax,trump,21
korean,leader,21
said,two,21
insurance,premiums,21
top,trump,21
john,taylor,21
10,trillion,20
1,jan,20
defense,department,20
ban,trump,20
agents,fbi,20
children,illegally,20
american,free,20
several,women,20
colluded,russia,20
based,u,20
lawyers,said,20
chair,vice,20
director,executive,20
syria,yemen,20
percent,u,20
democratic,support,20
one,year,20
banking,committee,20
wednesday,would,20
chief,former,20
analysts,say,20
democrats,house,20
low-income,people,20
legislation,senate,20
move,would,20
barack,predecessor,20
conservative,republicans,20
two,weeks,20
jim,mattis,20
bill,pass,20
2016,campaign,20
arctic,national,20
center,policy,20
1,percent,20
got,ve,20
50,percent,20
chuck,grassley,20
counsel,general,20
approved,senate,20
12,percent,20
22,percent,20
lower,tax,20
week,would,20
bill,republican,20
efforts,russian,20
journal,street,20
elizabeth,warren,20
reagan,ronald,20
agencies,concluded,20
52-48,slim,20
rubio,said,20
downing,said,20
electric,vehicles,20
arrest,house,20
foreign,register,20
federal,prosecutor,20
sanders,told,20
thursday,would,20
budget,director,20
call,trump,20
control,senate,20
become,law,20
associate,rick,20
grand,jury,20
cia,director,20
raise,would,20
payments,subsidy,20
reuters,united,20
governor,jerome,20
holiday,thanksgiving,20
military,myanmar,20
korean,peninsula,20
blasio,de,20
florida,texas,19
condition,speaking,19
civil,liberties,19
federal,law,19
collusion,russia,19
reuters,trump,19
current,former,19
comment,trump,19
trump,tweet,19
trump,won,19
attorney,deputy,19
commerce,secretary,19
bit,little,19
race,senate,19
cnn,told,19
new,u,19
businesses,individuals,19
matter,said,19
mueller,said,19
could,lead,19
could,immediately,19
comment,reached,19
admissions,refugee,19
put,would,19
association,national,19
government,said,19
2018,congressional,19
campaign,moore,19
bannon,steve,19
agencies,federal,19
illegally,states,19
concerns,raised,19
passed,senate,19
see,would,19
law,said,19
measure,would,19
grid,power,19
republicans,reuters,19
nominee,presidential,19
report,said,19
congressional,u,19
fund,managers,19
house,vote,19
companies,tech,19
representative,said,19
budget,committee,19
expected,vote,19
monday,trump,19
administration,senior,19
get,rid,19
corporate,cut,19
said,saturday,19
u,week,19
sexual,unwanted,19
campaign,trail,19
private,sector,19
failing,register,19
former,ukraine,19
committee,tax,19
ryan,told,19
federal,former,19
former,reuters,19
committee,joint,19
committee,taxation,19
war,world,19
said,think,19
john,staff,19
families,individuals,19
house,spokesman,19
defense,u,19
conspiracy,launder,19
flynn,said,19
met,trump,19
kevin,warsh,19
states,would,19
months,six,19
agency,intelligence,19
alexander,lamar,19
plan,said,19
campaign,russian,19
expires,term,19
paul,said,19
military,spending,18
republicans,would,18
action,deferred,18
governor,republican,18
d,washington,18
c,d,18
challenges,legal,18
postal,service,18
get,would,18
defense,spending,18
friday,trump,18
major,tax,18
rod,rosenstein,18
circuit,court,18
deductions,tax,18
also,could,18
raise,taxes,18
mnuchin,said,18
condition,spoke,18
economic,sanctions,18
campaign,clinton,18
filed,lawsuit,18
experts,say,18
federal,reuters,18
family,members,18
city,mexico,18
ministry,said,18
republican,state,18
news,reported,18
americans,millions,18
bill,clinton,18
seek,would,18
media,politics,18
democratic,predecessor,18
messages,text,18
refuge,wildlife,18
reuters,top,18
investigation,said,18
elections,midterm,18
recent,years,18
critics,say,18
including,republicans,18
financial,services,18
republican,two,18
bill,expected,18
two,votes,18
court,judge,18
go,would,18
democratic,reuters,18
diplomats,u,18
speech,trump,18
percent,tax,18
pass,votes,18
allegations,harassment,18
reuters,unable,18
korean,south,18
alabama,former,18
income,sales,18
cnn,said,18
70,moore,18
party,political,18
reuters,senate,18
allegations,moore,18
period,time,18
plan,senate,18
change,would,18
iran,sanctions,18
facebook,twitter,18
nuclear,u,18
people,two,18
democrats,support,18
amendment,first,18
mike,pompeo,18
kislyak,sergei,18
murray,patty,18
may,said,18
time,warner,18
people,transgender,17
previously,said,17
2018,jan,17
hurt,would,17
day,one,17
secretary,wilbur,17
ross,wilbur,17
children,states,17
america,great,17
law,signed,17
law,u,17
denies,trump,17
2016,june,17
court,washington,17
states,trump,17
south,sudan,17
department,spokeswoman,17
including,one,17
fargo,wells,17
also,republicans,17
control,house,17
ipsos,poll,17
pay,would,17
government,keep,17
fbi,former,17
said,senators,17
jim,secretary,17
corporations,wealthy,17
americans,would,17
congressional,year,17
approved,bill,17
clear,whether,17
day,earlier,17
one,several,17
governor,lieutenant,17
california,new,17
americans,million,17
democrats,say,17
could,republicans,17
democratic,senators,17
cruz,ted,17
boost,would,17
mandate,obamacare,17
tax,would,17
adviser,trump,17
lines,party,17
presidency,trump,17
inc,twitter,17
pruitt,scott,17
adam,schiff,17
allegations,trump,17
post,reported,17
jackson,said,17
enough,votes,17
committee,investigation,17
proposed,tax,17
deal,would,17
johnson,ron,17
luther,strange,17
three,u,17
legislation,reform,17
allies,european,17
saying,trump,17
governor,kevin,17
russia,ties,17
ron,wyden,17
house,thursday,17
60,votes,17
armed,services,17
amt,corporate,17
meet,trump,17
missile,program,17
bank,deutsche,17
conyers,said,17
new,sanctions,17
government,pro-russian,17
moscow,reuters,17
central,u,17
introduced,legislation,17
anthem,national,17
rand,senator,17
kyi,suu,17
clause,sunset,17
commerce,u,17
2016,march,17
said,xi,17
ross,said,17
economist,university,17
economist,john,17
6,trillion,17
pay,tax,16
30,years,16
action,childhood,16
arrivals,childhood,16
coming,weeks,16
american,civil,16
links,trump,16
russia,said,16
2016,russia,16
new,year,16
congress,democrats,16
congress,passed,16
general,rod,16
brought,immigrants,16
jpexyr,washington,16
republican,roy,16
trump,urged,16
denied,wrongdoing,16
salt,tax,16
said,york,16
law,tax,16
department,health,16
denies,russia,16
2016,meeting,16
later,said,16
administration,also,16
th,u,16
circuit,u,16
statement,washington,16
tens,thousands,16
35,rate,16
support,trump,16
financial,institutions,16
said,wants,16
re,said,16
congress,republican-controlled,16
run,would,16
democratic,votes,16
u,virgin,16
agency,security,16
group,trade,16
government,open,16
bipartisan,group,16
later,trump,16
francisco,reuters,16
christian,conservative,16
tax,top,16
opinion,polls,16
orrin,senator,16
face,would,16
statement,wednesday,16
hearing,said,16
many,said,16
fuel,standard,16
cornyn,said,16
m,p,16
proprietorships,sole,16
couples,married,16
house,version,16
bill,overhaul,16
candidate,trump,16
committee,oversight,16
nbc,news,16
keep,would,16
2016,november,16
trade,u,16
letter,wrote,16
confirmation,senate,16
changes,would,16
plan,tax-cut,16
control,white,16
interfered,russia,16
advances,sexual,16
endorsed,trump,16
election,possible,16
buy,health,16
intelligence,russian,16
reported,thursday,16
say,whether,16
leaders,senate,16
cuts,would,16
congressional,republican,16
familiar,person,16
chief,justice,16
trump,u,16
freeze,hiring,16
insurance,plans,16
code,source,16
ballistic,missiles,16
three,weeks,16
2016,october,16
congress,white,16
familiar,people,16
adviser,senior,16
corporate,taxes,16
affairs,committee,16
conspiracy,united,16
12-count,indictment,16
agents,ukraine,16
obamacare,replace,16
committee,told,16
budget,measure,16
foreign,government,16
bank,world,16
arsenal,nuclear,16
business,fox,16
among,republicans,15
republicans,voted,15
20,years,15
many,years,15
expected,said,15
liberties,union,15
announced,trump,15
graham,lindsey,15
british,former,15
papadopoulos,said,15
collusion,said,15
marc,short,15
trump,wants,15
investigation,russian,15
girls,teenage,15
accusations,sexual,15
denied,moore,15
fox,interview,15
assault,sexual,15
like,looks,15
delegates,house,15
become,would,15
allegations,u,15
collusion,denies,15
behind,closed,15
closed,doors,15
las,vegas,15
branch,executive,15
advocacy,groups,15
month,trump,15
issued,trump,15
said,wanted,15
said,tax,15
banking,senate,15
senate,thursday,15
said,year,15
people,young,15
state,washington,15
30,sept,15
help,puerto,15
rico,u,15
hurricanes,wildfires,15
approved,house,15
men,powerful,15
trump,washington,15
attorneys,state,15
reuters,two,15
government,partial,15
joint,statement,15
americans,middle-class,15
could,legislation,15
carolina,north,15
months,nine,15
eight,years,15
time,trump,15
democratic,said,15
said,time,15
made,progress,15
hundreds,millions,15
medical,out-of-pocket,15
referring,said,15
individual,top,15
pass-through,rate,15
congress,trump,15
benefit,would,15
boost,economic,15
elections,u,15
department,energy,15
elizabeth,senator,15
consumer,u,15
reported,reuters,15
border,u,15
legislation,major,15
cut,rate,15
alabama,said,15
accused,moore,15
back,pushed,15
remain,would,15
nuclear,power,15
marco,senator,15
achievement,legislative,15
answer,questions,15
place,took,15
jones,said,15
congress,house,15
one,republican,15
moore,support,15
congress,leaders,15
get,tax,15
2018,fiscal,15
committee,hearing,15
london,reuters,15
bipartisan,support,15
opinion,piece,15
ukraine,work,15
russia,u,15
national,trump,15
haley,said,15
border,mexico,15
force,one,15
downing,kevin,15
dianne,feinstein,15
late,thursday,15
committee,would,15
decision,made,15
guilty,lying,15
member,trump,15
12,special,15
house,plan,15
60,percent,15
tillerson,told,15
deduction,federal,15
patty,senator,15
cfpb,director,15
asked,said,15
britain,first,15
muslims,rohingya,15
pai,said,15
child,soldiers,15
communist,party,15
china,trump,15
1,nov,15
business,network,15
ads,political,15
indictment,said,15
face,nation,14
health,public,14
least,one,14
boost,economy,14
immigrants,young,14
immigration,law,14
advocacy,group,14
said,still,14
adviser,george,14
mueller,office,14
available,immediately,14
chuck,senator,14
19,jan,14
border,security,14
congressional,nonpartisan,14
election,general,14
son-in-law,trump,14
determine,whether,14
officials,state,14
others,said,14
signed,trump,14
goldman,sachs,14
group,inc,14
24,oct,14
11,refugees,14
40,percent,14
could,make,14
judge,said,14
still,would,14
economic,house,14
special,u,14
asked,reporters,14
house,would,14
david,said,14
economy,u,14
department,officials,14
intelligence,surveillance,14
early,next,14
next,re-election,14
probe,russian,14
step,toward,14
drilling,oil,14
rules,senate,14
10,debt,14
done,get,14
asian,southeast,14
governor,ricardo,14
ricardo,rossello,14
emailed,statement,14
lisa,senator,14
fellow,republican,14
gas,natural,14
2,senate,14
said,want,14
counsel,office,14
profits,u,14
exemption,personal,14
owners,pass-through,14
income,individual,14
proposal,tax,14
free,speech,14
one,three,14
agencies,government,14
bernie,senator,14
ll,see,14
along,party,14
get,going,14
final,tax,14
support,tax,14
fiscal,hawk,14
emergency,federal,14
agency,management,14
monday,would,14
administrator,scott,14
confirmation,hearing,14
counsel,house,14
final,version,14
congress,would,14
kevin,representative,14
allegations,russian,14
adam,representative,14
state,union,14
entertainment,media,14
said,state,14
never,said,14
backed,trump,14
agent,foreign,14
washington,year,14
chambers,control,14
hoped,said,14
earlier,trump,14
house,proposed,14
pass,senate,14
deduction,would,14
corrects,story,14
burr,richard,14
affect,would,14
alabama,senate,14
primary,republican,14
congress,must,14
allegations,russia,14
state,visit,14
announced,would,14
comment,washington,14
powers,world,14
declined,say,14
ben,cardin,14
threatened,trump,14
president,support,14
alabama,voters,14
revenues,tax,14
ago,weeks,14
new,washington,14
current,fed,14
tax,version,14
entering,united,14
trump,tweets,14
said,told,14
associates,campaign,14
silicon,valley,14
house,meeting,14
lamar,senator,14
open,would,14
said,tweet,14
fbi,lied,14
also,flynn,14
guilty,plea,14
retirement,savings,14
help,insurers,14
increases,tax,14
kelly,said,14
formally,known,14
thanksgiving,u,14
sanctions,targeted,14
o,rourke,14
papadopoulos,pleaded,14
city,forbidden,14
2,n,14
7,percent,13
cuts,spending,13
senate,votes,13
daca,program,13
81,billion,13
courts,federal,13
said,speaking,13
lawyers,trump,13
armed,senate,13
british,spy,13
christopher,steele,13
campaign,foreign,13
ago,year,13
8,percent,13
announced,plans,13
budget,chief,13
late,wednesday,13
30,moore,13
california,states,13
law,trump,13
secretary,steven,13
mnuchin,steven,13
donald,republican,13
democratic,rival,13
bill,cut,13
court,decision,13
democratic,opponent,13
9,th,13
muslim-majority,several,13
banker,investment,13
decision,make,13
federal,funding,13
thursday,u,13
including,issues,13
senate,trump,13
passage,tax,13
also,asked,13
friday,reported,13
3,percent,13
agencies,said,13
conservative,groups,13
johnson,said,13
fund,government,13
next,trillion,13
several,states,13
children,health,13
program,surveillance,13
foreign,intelligence,13
also,known,13
earlier,thursday,13
many,people,13
republican,texas,13
members,staff,13
memo,said,13
democrat,ranking,13
10,billion,13
community,intelligence,13
several,years,13
director,national,13
signature,trump,13
campaign,said,13
business,owners,13
one,top,13
overhaul,would,13
held,overseas,13
refiled,story,13
latest,trump,13
house,statement,13
campaign,promise,13
called,president,13
murphy,phil,13
professor,university,13
measure,spending,13
flake,said,13
republican,strategist,13
party,said,13
believe,said,13
hard,working,13
democrats,many,13
clinton,investigation,13
held,profits,13
rule,would,13
15,percent,13
financial,markets,13
create,jobs,13
give,would,13
bill,tuesday,13
rate,would,13
percent,top,13
income,pass-through,13
expand,would,13
added,trump,13
court,high,13
told,u,13
house,oversight,13
corporations,giveaway,13
former,white,13
budget,senate,13
house,majority,13
senate,voted,13
earlier,tuesday,13
americans,wealthy,13
100-seat,senate,13
bill,introduced,13
emergency,management,13
environmental,u,13
forward,move,13
cnn,reported,13
nomination,presidential,13
possible,soon,13
deep,tax,13
provisions,would,13
sunday,trump,13
allegations,investigating,13
government,oversight,13
cnn,state,13
post,said,13
question,whether,13
30,teenagers,13
90,percent,13
legislation,said,13
committee,conference,13
former,jones,13
say,trump,13
bill,u,13
bills,senate,13
proposal,senate,13
bill,repeal,13
alabama,supreme,13
alabama,people,13
congress,houses,13
press,secretary,13
allies,u,13
director,mick,13
probe,russia,13
h,r,13
2016,july,13
filing,said,13
minister,theresa,13
may,theresa,13
british,far-right,13
poll,released,13
re,working,13
accusations,trump,13
alabama,moore,13
abc,news,13
senate,tuesday,13
budget,cuts,13
assistant,secretary,13
federal,lying,13
democrat,senior,13
including,senate,13
political,work,13
investigation,possible,13
ran,trump,13
iran,said,13
director,mike,13
move,trump,13
named,trump,13
together,work,13
dianne,senator,13
franks,said,13
reut,rs,13
said,schiff,13
joined,trump,13
mueller,spokesman,13
20,million,13
plants,power,13
found,poll,13
administration,would,13
leadership,republican,13
flynn,lied,13
m,said,13
call,conference,13
health,subsidies,13
russian,trump,13
n,security,13
page,said,13
said,states,13
google,inc,13
congress,party,13
came,trump,13
cooperation,economic,13
asia,tour,13
surplus,trade,13
23,nov,13
indictment,manafort,13
obamacare,stabilize,13
conservative,republican,12
cbs,face,12
also,democrats,12
recent,said,12
aid,package,12
supporters,trump,12
federal,said,12
denied,interfering,12
according,percent,12
revenue,service,12
director,marc,12
rosenstein,said,12
election,officials,12
majority,republican,12
media,outlets,12
channel,news,12
called,moore,12
